363,Illinois-B (Boomland)
364,Marquette (Birdhouse)
365,Luther (LUFDA)
366,Virginia Tech-B (Virginia Tech B)
367,Grace (Lancer Ultimate)
368,Florida Tech (F-IT)
369,Nova Southeastern (Sharks Ultimate)
370,William & Mary-B (Seahorse)
371,Virginia-B (Caboose)
372,James Madison-B (Smellfish)
373,Wisconsin-Stevens Point (Homegrown)
374,Wisconsin-Whitewater (Sub*Par)
375,Michigan State-B (Riot Control)
376,Northern Iowa (AmmUNItion)
377,St John's (Minnesota) (BAM)
378,Grinnell-B (Gphants)
379,Nebraska (Cornfed Ultimate)
380,Wichita State (Wheaties)
381,Iowa (IHUC)
382,MIT-B (Woodmunchers)
383,Valparaiso (Vult)
384,SUNY-Binghamton-B (SUNY-Binghamton B)
385,Washington University-B (Contraband)
386,Missouri (Missouri)
387,Purdue-B (CTRL-Z)
388,Illinois-C (Cornland)
389,St Thomas (Purple Reign)
390,Winona State (Experience)
391,Wisconsin-Milwaukee-B (BLACKOUT)
392,Wisconsin-C (Daglets)
393,LSU-B (Purple Haze)
394,Seattle (Throbots)
395,Whitworth (Bangarang)
396,Washington State (Air Raid)
397,Willamette (Asylum)
